Top pages,Clicks,Impressions,CTR,Position
https://lumina.example/,18,600,3%,4.5
https://lumina.example/blog/post-1,2,3900,0.05%,42.3
https://lumina.example/blog/post-5,1,1650,0.06%,45.3
https://lumina.example/blog/post-4,1,1380,0.07%,48.7
https://lumina.example/blog/post-6,1,1290,0.08%,44.6
https://lumina.example/blog/post-10,1,1080,0.09%,50.4
https://lumina.example/blog/post-2,1,1040,0.1%,46.9
https://lumina.example/blog/post-12,0,950,0%,54.1
https://lumina.example/blog/post-9,0,870,0%,58.3
https://lumina.example/blog/post-11,0,840,0%,52.6
https://lumina.example/blog/post-8,0,690,0%,49.8
https://lumina.example/blog/post-3,0,130,0%,47.2
https://lumina.example/blog/post-7,0,80,0%,55.8
